distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hours,avg_speed
21.6,5.3,21.5,9,E10,0,1,0,12.5,1.1448,2.341,0.7333333333333333,29.454545454545457
39.4,5.3,21.5,9,E10,0,1,0,12.5,2.0882,4.27,1.0,39.4
5.1,8.1,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.845,0.65,7.846153846153845
26.6,4.8,21.5,7,E10,0,0,0,14.5,1.2768000000000002,2.611,0.6333333333333333,42.00000000000001
53.2,5.1,21.5,2,E10,0,0,0,19.5,2.7132,5.548,1.1833333333333333,44.95774647887324
18.9,4.4,21.5,2,E10,0,0,0,19.5,0.8316,1.701,0.8833333333333333,21.39622641509434
43.5,5.0,21.5,3,E10,0,0,0,18.5,2.175,4.448,1.3333333333333333,32.625
6.1,6.3,21.5,5,E10,0,0,0,16.5,0.3843,0.786,0.43333333333333335,14.076923076923075
16.4,4.8,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.61,0.8166666666666667,20.081632653061224
12.3,6.1,21.5,6,E10,0,0,0,15.5,0.7503,1.534,0.6666666666666666,18.450000000000003
21.1,4.6,21.5,8,E10,0,0,0,13.5,0.9706,1.985,0.6,35.16666666666667
21.1,4.8,21.5,7,E10,0,0,0,14.5,1.0128,2.071,0.7166666666666667,29.44186046511628
22.7,4.7,21.5,6,E10,0,0,0,15.5,1.0669,2.182,0.9166666666666666,24.763636363636365
44.4,4.8,21.5,8,E10,0,0,0,13.5,2.1311999999999998,4.358,0.6333333333333333,70.10526315789474
35.8,4.4,21.5,6,E10,0,0,0,15.5,1.5752000000000002,3.221,0.85,42.11764705882353
11.8,4.9,21.5,0,E10,0,0,0,21.5,0.5782,1.182,0.7333333333333333,16.090909090909093
26.2,4.9,21.5,6,E10,0,0,0,15.5,1.2838,2.625,0.7,37.42857142857143
40.6,4.4,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.653,0.7333333333333333,55.36363636363637
12.4,5.3,21.0,-5,E10,0,0,0,26.0,0.6572,1.344,0.6333333333333333,19.578947368421055
14.1,5.3,21.0,-3,E10,0,0,0,24.0,0.7472999999999999,1.528,0.7833333333333333,18.0
58.7,4.8,21.0,0,E10,0,0,0,21.0,2.8176,5.762,1.25,46.96
16.2,5.2,21.0,0,E10,0,0,0,21.0,0.8423999999999999,1.723,0.48333333333333334,33.51724137931034
12.3,4.9,22.5,0,E10,0,0,0,22.5,0.6027000000000001,1.233,0.8333333333333334,14.76
12.3,7.1,22.5,0,E10,1,1,0,22.5,0.8733,1.786,0.8666666666666667,14.192307692307693
12.4,5.2,22.5,1,E10,0,0,0,21.5,0.6448,1.319,0.85,14.588235294117649
31.8,4.7,22.5,3,E10,0,0,0,19.5,1.4946000000000002,3.056,0.9833333333333333,32.33898305084746
12.3,5.1,22.5,8,E10,0,0,0,14.5,0.6273,1.283,0.9166666666666666,13.41818181818182
51.6,5.0,22.5,12,E10,0,0,0,10.5,2.58,5.276,1.2166666666666666,42.41095890410959
38.6,4.6,22.5,10,E10,0,0,0,12.5,1.7756,3.631,0.7333333333333333,52.63636363636364
12.3,4.8,22.5,7,E10,0,0,0,15.5,0.5904,1.207,0.6833333333333333,18.0
81.2,4.4,22.0,13,E10,0,0,0,9.0,3.5728000000000004,7.306,1.15,70.60869565217392
130.3,4.6,22.0,12,E10,0,0,0,10.0,5.9938,12.257,1.4166666666666667,91.9764705882353
67.2,4.3,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.909,1.1166666666666667,60.17910447761194
43.7,4.7,22.0,9,SP98,0,1,0,13.0,2.0539,4.067,0.7333333333333333,59.5909090909091
12.1,4.2,22.0,4,SP98,0,0,0,18.0,0.5082,1.006,0.7166666666666667,16.883720930232556
56.1,4.8,22.0,13,SP98,0,0,0,9.0,2.6927999999999996,5.332,1.3666666666666667,41.048780487804876
39.0,4.1,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,3.166,1.0166666666666666,38.36065573770492
11.8,4.5,21.5,13,SP98,0,0,0,8.5,0.531,1.051,0.6833333333333333,17.26829268292683
38.5,4.8,21.5,14,SP98,0,0,0,7.5,1.8479999999999999,3.659,1.05,36.666666666666664
28.2,4.6,21.5,14,SP98,0,0,0,7.5,1.2972,2.568,0.9,31.333333333333332
2.9,7.4,21.5,14,SP98,0,0,0,7.5,0.2146,0.425,0.4,7.249999999999999
6.1,5.6,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.676,0.4,15.249999999999998
19.6,4.9,21.5,13,SP98,0,0,0,8.5,0.9604000000000003,1.902,0.7166666666666667,27.348837209302328
22.2,3.8,22.0,15,SP98,0,0,0,7.0,0.8436,1.67,0.7,31.714285714285715
13.6,4.5,19.0,18,SP98,0,0,0,1.0,0.612,1.212,0.7333333333333333,18.545454545454547
12.6,4.1,22.0,17,SP98,0,0,0,5.0,0.5166,1.023,0.55,22.909090909090907
8.7,5.3,22.5,12,SP98,1,1,0,10.5,0.4610999999999999,0.913,0.4666666666666667,18.642857142857142
7.9,4.7,22.5,12,SP98,1,0,0,10.5,0.3713,0.735,0.5166666666666667,15.29032258064516
2.4,9.0,20.0,10,SP98,0,0,0,10.0,0.21599999999999997,0.428,0.43333333333333335,5.538461538461538
4.9,6.3,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.611,0.43333333333333335,11.307692307692308
18.1,3.6,20.0,19,SP98,0,0,0,1.0,0.6516000000000001,1.29,0.6,30.16666666666667
25.9,3.7,20.0,21,SP98,0,0,0,-1.0,0.9582999999999999,1.897,0.65,39.84615384615384
1.3,11.5,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.296,0.35,3.714285714285715
14.1,5.0,20.0,12,SP98,0,0,0,8.0,0.705,1.396,0.36666666666666664,38.45454545454545
13.4,5.5,20.0,9,SP98,0,0,0,11.0,0.737,1.459,0.5166666666666667,25.93548387096774
6.4,4.7,20.0,8,SP98,0,0,0,12.0,0.3008,0.596,0.55,11.636363636363637
12.9,4.5,20.0,13,SP98,0,0,0,7.0,0.5805,1.149,0.7,18.42857142857143
12.1,4.4,22.5,5,SP98,0,0,0,17.5,0.5324,1.054,0.55,21.999999999999996
15.7,4.1,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,1.275,0.5333333333333333,29.4375
16.2,4.4,22.5,11,SP98,0,0,0,11.5,0.7128,1.411,0.43333333333333335,37.38461538461538
12.8,4.6,22.5,12,SP98,0,0,0,10.5,0.5888,1.166,0.36666666666666664,34.909090909090914
19.0,4.4,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.655,0.9666666666666667,19.655172413793103
29.0,4.0,22.5,12,SP98,0,0,0,10.5,1.16,2.297,0.45,64.44444444444444
12.1,5.0,22.5,9,SP98,0,0,0,13.5,0.605,1.198,0.5333333333333333,22.6875
12.3,5.2,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.266,0.9166666666666666,13.41818181818182
24.8,4.0,22.5,11,SP98,0,0,0,11.5,0.992,1.964,0.9333333333333333,26.571428571428573
12.9,5.1,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.303,0.5666666666666667,22.764705882352942
11.8,4.5,22.5,3,SP98,0,0,0,19.5,0.531,1.051,0.65,18.153846153846153
31.4,4.6,22.5,11,SP98,0,0,0,11.5,1.4443999999999997,2.86,1.0333333333333334,30.387096774193544
19.0,5.1,22.5,4,SP98,0,1,0,18.5,0.9689999999999999,1.919,0.8833333333333333,21.50943396226415
13.0,5.7,22.5,3,SP98,1,1,0,19.5,0.7410000000000001,1.467,0.6333333333333333,20.526315789473685
11.8,4.8,22.5,2,SP98,0,0,0,20.5,0.5664,1.121,0.7,16.857142857142858
13.0,6.2,22.5,4,SP98,0,0,0,18.5,0.806,1.596,0.5333333333333333,24.375
11.8,5.0,22.5,1,SP98,0,0,0,21.5,0.59,1.168,0.7166666666666667,16.46511627906977
27.1,5.0,22.5,8,SP98,0,0,0,14.5,1.355,2.683,1.15,23.56521739130435
5.2,4.6,22.5,8,SP98,0,0,0,14.5,0.23919999999999997,0.474,0.6333333333333333,8.210526315789474
19.0,4.5,22.5,10,E10,0,0,0,12.5,0.855,1.748,0.48333333333333334,39.310344827586206
12.4,4.8,22.5,1,E10,0,0,0,21.5,0.5952,1.217,0.6333333333333333,19.578947368421055
25.2,5.0,22.5,9,E10,0,0,0,13.5,1.26,2.577,0.9166666666666666,27.490909090909092
14.3,4.8,22.5,10,E10,0,0,0,12.5,0.6864,1.404,0.6,23.833333333333336
11.8,4.6,22.5,2,E10,0,0,0,20.5,0.5428000000000001,1.11,0.6666666666666666,17.700000000000003
16.9,4.5,22.5,9,E10,0,0,1,13.5,0.7605,1.555,0.8,21.124999999999996
12.4,4.6,22.5,11,E10,0,0,1,11.5,0.5704,1.166,0.9166666666666666,13.527272727272727
17.4,4.4,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.566,0.6,29.0
9.2,5.7,22.5,8,E10,0,1,0,14.5,0.5244,1.072,0.55,16.727272727272723
12.3,5.8,22.5,10,E10,0,1,0,12.5,0.7134,1.459,0.9,13.666666666666668
13.0,5.9,22.5,10,E10,0,0,0,12.5,0.767,1.569,0.5333333333333333,24.375
11.8,6.1,22.5,6,E10,0,1,0,16.5,0.7198,1.472,0.26666666666666666,44.25
13.0,5.7,22.5,11,E10,0,1,0,11.5,0.7410000000000001,1.515,0.6166666666666667,21.08108108108108
12.3,5.0,22.5,10,E10,0,0,0,12.5,0.615,1.258,0.7,17.571428571428573
12.3,5.2,22.5,15,E10,0,0,1,7.5,0.6396000000000001,1.308,0.95,12.947368421052634
12.5,4.3,22.5,16,E10,0,0,1,6.5,0.5375,1.099,0.95,13.157894736842106
31.5,4.1,22.5,16,E10,0,0,1,6.5,1.2914999999999999,2.641,0.5,63.0
11.8,4.4,22.5,8,E10,0,0,0,14.5,0.5192000000000001,1.062,0.7,16.857142857142858
24.9,4.5,22.5,14,E10,0,0,0,8.5,1.1205,2.291,0.8833333333333333,28.18867924528302
17.0,3.9,22.5,14,E10,0,0,1,8.5,0.6629999999999999,1.356,0.7666666666666667,22.173913043478258
2.0,8.1,22.5,14,E10,0,0,0,8.5,0.162,0.331,0.3333333333333333,6.0
11.8,4.4,22.5,8,E10,0,0,0,14.5,0.5192000000000001,1.062,0.55,21.454545454545453
7.4,5.0,22.5,12,E10,0,0,0,10.5,0.37,0.757,0.5166666666666667,14.32258064516129
12.4,4.7,22.5,14,E10,0,0,1,8.5,0.5828,1.192,0.9166666666666666,13.527272727272727
2.0,6.0,22.5,14,E10,0,0,0,8.5,0.12,0.245,0.36666666666666664,5.454545454545455
14.0,5.0,22.5,8,E10,0,0,0,14.5,0.7,1.431,0.6833333333333333,20.48780487804878
25.7,5.0,22.5,7,E10,0,0,0,15.5,1.285,2.628,0.75,34.266666666666666
